id,siglaPartido
204379,MDB
220714,REPUBLICANOS
136811,PP
178835,PDT
220538,REPUBLICANOS
160559,MDB
204423,PL
123756,REPUBLICANOS
220544,REPUBLICANOS
160553,PSD
74090,PSD
123086,PP
160665,REPUBLICANOS
109429,UNIÃO
204358,PSDB
204388,PL
160538,PT
220574,PL
178829,PL
204426,PT
141408,MDB
204378,PL
220666,PL
220590,UNIÃO
178963,PP
220608,UNIÃO
141411,PSDB
220555,PCdoB
74060,PCdoB
62881,UNIÃO
220539,REPUBLICANOS
220561,PSD
178908,PL
220553,PT
220671,PT
143632,PSD
220573,PDT
220610,UNIÃO
220688,PT
204481,PL
220540,MDB
141421,PP
220589,UNIÃO
204427,PL
191923,PT
220551,REPUBLICANOS
224117,REPUBLICANOS
220708,PSD
204473,PL
74374,PSDB
160673,PL
220664,PSB
178964,PSB
220537,MDB
220672,MDB
160674,REPUBLICANOS
220697,REPUBLICANOS
141459,PP
141470,PT
209189,PT
220578,PDT
220677,MDB
220662,PSB
220581,PSD
178954,MDB
141485,UNIÃO
74041,PT
220658,PSD
178866,PT
81055,PCdoB
204431,PSD
74398,PT
220609,UNIÃO
220591,UNIÃO
188097,PT
178997,UNIÃO
220584,REPUBLICANOS
204453,PT
204479,PL
204498,MDB
73692,PL
180214,UNIÃO
220685,PSD
122974,UNIÃO
204406,PP
73486,PDT
153423,MDB
220588,REPUBLICANOS
220546,PL
204416,PL
204557,PSD
204360,PP
204396,PP
160591,PL
91228,AVANTE
74043,PL
220536,PSD
220558,PL
220592,PP
