id,siglaUF
204379,AP
220714,AM
136811,RS
178835,RS
220538,RR
160559,RS
204423,PE
123756,AC
220544,TO
160553,BA
74090,AM
123086,PI
160665,PE
109429,RN
204358,MS
204388,RS
160538,RS
220574,PB
178829,SP
204426,PE
141408,MA
204378,RO
220666,PE
220590,AC
178963,RS
220608,RO
141411,MS
220555,RS
74060,BA
62881,CE
220539,RR
220561,SE
178908,PA
220553,RS
220671,PA
143632,CE
220573,AP
220610,RO
220688,PI
204481,CE
220540,RR
141421,PE
220589,AC
204427,PE
191923,PI
220551,RS
224117,RR
220708,BA
204473,RN
74374,MS
160673,RS
220664,PE
178964,RS
220537,RR
220672,PA
160674,PB
220697,PI
141459,RN
141470,CE
209189,BA
220578,AP
220677,PA
220662,PE
220581,AL
178954,RO
141485,RS
74041,PB
220658,CE
178866,CE
81055,MA
204431,PI
74398,RS
220609,RO
220591,AC
188097,PI
178997,CE
220584,PB
204453,RN
204479,RR
204498,PA
73692,RS
180214,RR
220685,PR
122974,MA
204406,RS
73486,RS
153423,PA
220588,AC
220546,MS
204416,RS
204557,AM
204360,RO
204396,PR
160591,AP
91228,PE
74043,PB
220536,RR
220558,SC
220592,AC
