id,tipoDespesa,valorLiquido,ranking
153423,PASSAGEM AÉREA - SIGEPA,501254.46,2.0
220590,PASSAGEM AÉREA - SIGEPA,322919.8,2.0
220538,PASSAGEM AÉREA - SIGEPA,115853.77,3.0
220561,PASSAGEM AÉREA - SIGEPA,302836.67,3.0
180214,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,502671.27,1.0
136811,COMBUSTÍVEIS E LUBRIFICANTES.,229406.53,5.0
220697,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,1044559.4,1.0
220574,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,39150.0,5.0
178963,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,427010.0,2.0
220664,COMBUSTÍVEIS E LUBRIFICANTES.,117807.17,4.0
220708,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,722550.0,1.0
204557,COMBUSTÍVEIS E LUBRIFICANTES.,43676.65,5.0
160591,LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES,133700.0,5.0
141485,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",62342.729999999996,5.0
204406,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,313693.8,4.0
220578,COMBUSTÍVEIS E LUBRIFICANTES.,99022.6,5.0
220573,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,1236659.31,1.0
74374,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,220993.1,4.0
109429,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,442950.0,2.0
160673,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,346116.7,3.0
178964,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,320436.39,2.0
220584,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,70235.18000000001,5.0
204557,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,491050.42,2.0
73692,PASSAGEM AÉREA - SIGEPA,330887.35,3.0
204396,COMBUSTÍVEIS E LUBRIFICANTES.,153872.48,4.0
204473,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,566095.0,1.0
160591,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,134971.24,4.0
220544,PASSAGEM AÉREA - SIGEPA,30501.69,5.0
220671,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,1157038.0,1.0
62881,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,86894.78,4.0
220671,COMBUSTÍVEIS E LUBRIFICANTES.,298395.07,2.0
220553,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,185503.9,5.0
178963,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,710031.58,1.0
204427,PASSAGEM AÉREA - SIGEPA,656414.05,1.0
220546,PASSAGEM AÉREA - SIGEPA,93615.62,5.0
109429,COMBUSTÍVEIS E LUBRIFICANTES.,194072.79,4.0
204423,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,319102.75,3.0
74060,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,192209.0,4.0
204396,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,158052.23,3.0
160553,PASSAGEM AÉREA - SIGEPA,561717.91,1.0
141485,COMBUSTÍVEIS E LUBRIFICANTES.,159293.78,3.0
220662,PASSAGEM AÉREA - SIGEPA,439415.03,2.0
220539,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,701905.79,1.0
220708,PASSAGEM AÉREA - SIGEPA,108348.06,5.0
74374,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,936999.26,1.0
178835,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,352300.0,2.0
204406,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,423974.1,2.0
160538,PASSAGEM AÉREA - SIGEPA,187540.37,4.0
220608,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,457413.0,2.0
74043,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,253200.0,2.0
141421,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,482855.0,2.0
204473,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,559430.87,2.0
178908,LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES,564000.0,1.0
188097,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,241621.64,3.0
191923,SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.,313200.0,3.0
220688,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,443930.0,1.0
204427,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,487939.37,2.0
220584,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,880500.0,1.0
220553,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,439055.38,1.0
220581,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,462500.0,2.0
220677,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,845150.85,1.0
204358,COMBUSTÍVEIS E LUBRIFICANTES.,210804.14,4.0
220688,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,354679.85,2.0
204431,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,827000.0,1.0
220592,PASSAGEM AÉREA - RPA,16456.95,5.0
209189,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,510853.66,1.0
136811,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,399106.4,2.0
220672,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,709834.0,1.0
220610,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,330522.87,2.0
191923,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,222701.48,4.0
220555,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,204315.88,4.0
204431,COMBUSTÍVEIS E LUBRIFICANTES.,273347.71,3.0
220609,PASSAGEM AÉREA - SIGEPA,385109.16,3.0
160673,PASSAGEM AÉREA - SIGEPA,86049.3,5.0
160674,COMBUSTÍVEIS E LUBRIFICANTES.,183488.81,4.0
141459,COMBUSTÍVEIS E LUBRIFICANTES.,141191.28,4.0
220697,PASSAGEM AÉREA - SIGEPA,258367.49,2.0
204360,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,85379.61,4.0
220561,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,648575.34,1.0
220688,COMBUSTÍVEIS E LUBRIFICANTES.,291679.52,4.0
220592,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,1255552.0,1.0
220558,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,256044.66,3.0
220590,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,99253.54,5.0
220677,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,57286.8,5.0
178866,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,187966.94,4.0
178963,COMBUSTÍVEIS E LUBRIFICANTES.,67991.26,5.0
178866,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,272874.58,3.0
62881,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,719158.91,1.0
220551,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,554866.02,1.0
