id,valor_total
73486,2003330.71
220590,1934178.42
220538,1933471.26
220537,1899781.95
160591,1899094.69
220536,1881174.92
224117,1880967.83
204360,1879846.74
204423,1868196.47
220591,1864340.54
141459,1861333.28
220608,1857979.8
204473,1853306.58
123756,1847439.68
141408,1845524.98
220662,1844029.95
204426,1843642.9
204406,1838959.85
220539,1825601.23
220574,1824511.95
74090,1813885.66
204479,1809122.35
220610,1808381.81
178954,1802114.27
204388,1794979.92
204498,1793470.29
204453,1792833.15
220551,1792720.15
74041,1789081.57
220578,1787299.13
191923,1786885.02
178908,1785527.17
204358,1783485.66
220658,1779408.84
220540,1778823.62
91228,1776354.52
188097,1775209.67
74374,1774584.28
220592,1771665.43
143632,1770026.45
204557,1769904.55
141470,1765806.39
220714,1765669.1
204431,1759107.8
178835,1758895.2
220671,1758372.79
74060,1757249.15
81055,1755698.43
141421,1751633.6
204378,1751166.43
220672,1750614.63
178866,1748754.99
220688,1746444.04
204379,1744329.9
220573,1743562.16
160559,1743280.26
153423,1742993.02
220677,1742443.56
122974,1741759.93
178964,1741501.63
220546,1740716.89
220558,1738981.36
160665,1738478.29
160538,1736754.54
180214,1736467.24
178997,1735657.36
220581,1734431.57
62881,1734159.81
74398,1733434.57
220666,1728917.51
136811,1727846.82
220609,1727668.46
220685,1727448.96
220708,1726693.58
160674,1721833.5
204396,1719651.47
220697,1718340.14
73692,1717355.75
204481,1717031.3
220589,1712999.43
220584,1710348.1
220553,1707597.73
204416,1707234.74
209189,1706557.63
178963,1706520.09
220561,1706410.34
74043,1705754.16
160553,1705730.3699999999
220664,1704536.11
220555,1700243.48
141411,1699033.03
123086,1695886.64
220588,1695854.22
141485,1695247.93
220544,1694807.93
204427,1694677.03
160673,1693296.67
178829,1692738.05
109429,1691662.07
