id,nomeCivil,siglaUF,siglaPartido
204379,ACÁCIO DA SILVA FAVACHO NETO,AP,MDB
220714,ADAIL JOSÉ FIGUEIREDO PINHEIRO,AM,REPUBLICANOS
221328,ADILSON BARROSO OLIVEIRA,SP,PL
204560,ADOLFO VIANA DE CASTRO NETO,BA,PSDB
204528,ADRIANA MIGUEL VENTURA,SP,NOVO
121948,ADRIANO ANTÔNIO AVELAR,GO,PP
74646,AÉCIO NEVES DA CUNHA,MG,PSDB
136811,JOSÉ ALFONSO EBERT HAMM,RS,PP
178835,AFONSO ANTUNES DA MOTTA,RS,PDT
160527,AGUINALDO VELLOSO BORGES RIBEIRO,PB,PP
204495,AIRTON LUIZ FALEIRO,PA,PT
204549,ANTONIO JOSE AGUIAR ALBUQUERQUE,CE,PP
73579,JOÃO ALBERTO FRAGA SILVA,DF,PL
220538,JOSÉ FRANCISCO LOPES DE ALBUQUERQUE,RR,REPUBLICANOS
160559,ALCEU MOREIRA DA SILVA,RS,MDB
204501,ALENCAR SANTANA BRAGA,SP,PT
178972,ALEX SPINELLI MANENTE,SP,CIDADANIA
204571,ALEX MARCO SANTANA SOUSA,BA,REPUBLICANOS
220542,JOSÉ ALEXANDRE DOMINGUES GUIMARÃES,TO,MDB
160545,ALEXANDRE LEITE DA SILVA,SP,UNIÃO
220554,ALEXANDRE DUARTE LINDENMEYER,RS,PT
221148,ALFREDO ALVES CAVALCANTE,SP,PT
220576,ALFREDO GASPAR DE MENDONÇA NETO,AL,UNIÃO
74057,ALICE MAZZUCO PORTUGAL,BA,PCdoB
178927,ALIEL MACHADO BARK,PR,PV
226708,ALLAN QUADROS GARCÊS,MA,PP
178937,ALTINEU CÔRTES FREITAS COUTINHO,RJ,PL
178881,ALUISIO GUIMARAES MENDES FILHO,MA,REPUBLICANOS
220707,AMANDA KELLY GENTIL GUIMARÃES ROSA,MA,PP
204356,AMARO ROCHA NASCIMENTO NETO,ES,REPUBLICANOS
220715,AMOM MANDEL LINS FILHO,AM,CIDADANIA
107970,ANA PAULA PROCOPIO JUNQUEIRA,MG,PP
220556,ANA PAULA DE SOUZA LIMA,SC,PT
220632,ANA CRISTINA DE LIMA PIMENTEL,MG,PT
178831,ANDRE DOS SANTOS ABDON,AP,PP
220657,ANDRÉ FERNANDES DE MOURA,CE,PL
204423,ANDRÉ FERREIRA RODRIGUES,PE,PL
133439,ANDRÉ PEIXOTO FIGUEIREDO LIMA,CE,PDT
204515,ANDRE LUIS GASPAR JANONES,MG,AVANTE
220676,ANDREIA BRITO GONÇALVES SIQUEIRA,PA,MDB
123756,ANTÔNIA LUCILÉIA CRUZ RAMOS CÂMARA,AC,REPUBLICANOS
220544,ANTONIO POINCARE ANDRADE FILHO,TO,REPUBLICANOS
160553,ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO,BA,PSD
220638,ANTONIO CARLOS RODRIGUES,SP,PL
220675,ANTONIO LEOCÁDIO DOS SANTOS,PA,MDB
220549,ANY MACHADO ORTIZ,RS,CIDADANIA
73433,ARLINDO CHIGNALIA JUNIOR,SP,PT
141391,ARNALDO CALIL PEREIRA JARDIM,SP,CIDADANIA
160541,ARTHUR CÉSAR PEREIRA DE LIRA,AL,PP
160600,ARTHUR DE OLIVEIRA MAIA DA SILVA,BA,UNIÃO
74090,ÁTILA SIDNEY LINS DE ALBUQUERQUE,AM,PSD
123086,ÁTILA DE MELO LIRA,PI,PP
160665,AUGUSTO RODRIGUES COUTINHO DE MELO,PE,REPUBLICANOS
160512,AUREO LIDIO MOREIRA RIBEIRO,RJ,SOLIDARIEDADE
69871,JOAO CARLOS BACELAR BATISTA,BA,PV
178975,LUIZ FELIPE BALEIA TENUTO ROSSI,SP,MDB
220605,EDUARDO CARVALHO BANDEIRA DE MELLO,RJ,PSB
220612,Carlos Roberto Rodrigues,RJ,PP
73701,BENEDITA SOUZA DA SILVA SAMPAIO,RJ,PT
109429,LUIZ BENES LEOCADIO DE ARAUJO,RN,UNIÃO
204358,HUMBERTO REZENDE PEREIRA,MS,PSDB
220683,CARLOS ALBERTO RICHA,PR,PSDB
204374,BEATRIZ KICIS TORRENTS DE SORDI,DF,PL
204388,ALCIBIO MESQUITA BIBO NUNES,RS,PL
160538,ELVINO JOSÉ BOHN GASS,RS,PT
210989,BRUNO SOUZA FARIAS,MG,AVANTE
220635,BRUNO AREVALO GANEM,SP,PODE
220574,GILBERTO GOMES DA SILVA,PB,PL
143942,CAIO SANTOS VIANNA,RJ,PSD
220548,CAMILA BAZACHI JARA MARZOCHI,MS,PT
204572,ALBERTO BARROS CAVALCANTE NETO,AM,PL
220690,ALDEN JOSE LAZARO DA SILVA,BA,PL
178829,JOSE AUGUSTO ROSA,SP,PL
213762,HILKEA CARLA DE SOUZA MEDEIROS LIMA,RN,UNIÃO
204361,CARLOS ALBERTO CHIODINI,SC,MDB
178962,ANTONIO CARLOS GOMES DA SILVA,RS,REPUBLICANOS
178993,CARLOS HENRIQUE AMORIM,TO,UNIÃO
204460,Carlos Roberto Jordy Coelho de Mattos,RJ,PL
74262,CARLOS HENRIQUE FOCESI SAMPAIO,SP,PSD
204426,JOSÉ CARLOS VERAS DOS SANTOS,PE,PT
141398,CARLOS ALBERTO ROLIM ZARATTINI,SP,PT
220704,ANA CAROLINA MOURA MELO DARTORA,PR,PT
204369,CAROLINE RODRIGUES DE TONI,SC,PL
