id,tipoDespesa,valorLiquido,ranking
153423,PASSAGEM AÉREA - SIGEPA,501254.46,2.0
74428,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,405271.32,2.0
74283,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,274544.51,3.0
69871,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,589963.09,1.0
220590,PASSAGEM AÉREA - SIGEPA,322919.8,2.0
74848,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,137903.0,4.0
171617,PASSAGEM AÉREA - SIGEPA,244888.21,3.0
220607,COMBUSTÍVEIS E LUBRIFICANTES.,71977.34,5.0
178966,PASSAGEM AÉREA - SIGEPA,119523.08,5.0
178934,COMBUSTÍVEIS E LUBRIFICANTES.,60903.24,5.0
220623,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,173783.27,4.0
204464,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",34770.34,5.0
204419,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,78.73,4.0
220617,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",54016.270000000004,5.0
220626,COMBUSTÍVEIS E LUBRIFICANTES.,289660.95,3.0
220538,PASSAGEM AÉREA - SIGEPA,115853.77,3.0
222565,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,1256.29,4.0
74376,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,720781.0,1.0
220561,PASSAGEM AÉREA - SIGEPA,302836.67,3.0
220543,COMBUSTÍVEIS E LUBRIFICANTES.,121917.02,5.0
160561,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,8091.96,5.0
141458,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,46976.58,5.0
74554,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,324815.03,2.0
220673,COMBUSTÍVEIS E LUBRIFICANTES.,110268.83,2.0
220585,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,524397.71,1.0
204368,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",148973.29,5.0
178943,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",38788.46,5.0
180214,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,502671.27,1.0
220629,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,98328.61,4.0
234788,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,74439.1,1.0
178937,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,539.8,4.0
204517,PASSAGEM AÉREA - RPA,5619.88,4.0
160598,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,732810.0,1.0
220694,PASSAGEM AÉREA - SIGEPA,173404.02,4.0
136811,COMBUSTÍVEIS E LUBRIFICANTES.,229406.53,5.0
220564,PASSAGEM AÉREA - SIGEPA,334317.47,2.0
220624,PASSAGEM AÉREA - SIGEPA,271281.33,3.0
161550,PASSAGEM AÉREA - SIGEPA,105356.39,5.0
220684,PASSAGEM AÉREA - SIGEPA,272980.7,3.0
220697,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,1044559.4,1.0
220574,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,39150.0,5.0
204553,PASSAGEM AÉREA - SIGEPA,117677.1,3.0
227310,COMBUSTÍVEIS E LUBRIFICANTES.,212.98,5.0
204362,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,186499.27,2.0
73579,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,193675.19,2.0
178963,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,427010.0,2.0
204390,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,167860.0,4.0
220613,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,414490.0,2.0
220664,COMBUSTÍVEIS E LUBRIFICANTES.,117807.17,4.0
220644,PASSAGEM AÉREA - SIGEPA,297287.73,2.0
143084,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",21928.4,3.0
220704,PASSAGEM AÉREA - SIGEPA,240242.06,4.0
220708,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,722550.0,1.0
204486,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,724062.0,1.0
204557,COMBUSTÍVEIS E LUBRIFICANTES.,43676.65,5.0
204410,PASSAGEM AÉREA - SIGEPA,323325.6,3.0
160591,LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES,133700.0,5.0
141485,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",62342.729999999996,5.0
220653,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,309995.0,1.0
178946,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",5314.59,5.0
220599,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,141773.5,2.0
204404,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,399110.75,2.0
74159,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,330797.37,2.0
92776,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,564956.51,1.0
220566,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,397200.0,2.0
204406,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,313693.8,4.0
220578,COMBUSTÍVEIS E LUBRIFICANTES.,99022.6,5.0
74253,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,630633.26,1.0
178993,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,386829.48,2.0
220556,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,114078.08,3.0
204445,COMBUSTÍVEIS E LUBRIFICANTES.,112928.75,5.0
160640,PASSAGEM AÉREA - SIGEPA,463227.28,1.0
225730,COMBUSTÍVEIS E LUBRIFICANTES.,70324.9,4.0
